occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2021-01-01 01:00:00,AGG ASSAULT,False,2021-01-01 03:52:00,BAR / NIGHT CLUB,407 E 6TH ST,78701.0,9.0,GE,2,382.0,11.0,True,2021-01-05 00:00:00,Aggravated Assault,30.26676255,-97.73907745,2021.0,1.0,53.0,1.0,1.0
2021-01-01 01:12:00,AGG ASSAULT,False,2021-01-01 01:12:00,RESIDENCE / HOME,11301 NICOLE CV,78753.0,1.0,ED,7,759.0,,False,2021-01-02 00:00:00,Aggravated Assault,30.37471904,-97.66797094,2021.0,1.0,53.0,1.0,1.0
2021-01-01 01:32:00,AGG ASLT STRANGLE/SUFFOCATE,True,2021-01-01 01:32:00,RESIDENCE / HOME,2800 LYONS RD,78702.0,3.0,CH,2,423.0,8.0,True,2021-01-01 00:00:00,Aggravated Assault,30.2640271,-97.7075398,2021.0,1.0,53.0,1.0,1.0
2021-01-01 02:22:00,AGG ASSAULT,False,2021-01-01 02:22:00,RESIDENCE / HOME,9613 SUGAR HILL DR,78748.0,5.0,FR,1,535.0,,False,2021-01-06 00:00:00,Aggravated Assault,30.18273904,-97.83471184,2021.0,1.0,53.0,1.0,2.0
2021-01-01 03:06:00,AGG ASSAULT,False,2021-01-01 03:06:00,PARKING LOTS / GARAGE,8524 BURNET RD,78757.0,7.0,BA,6,233.0,18.17,True,2021-01-01 00:00:00,Aggravated Assault,30.36694207,-97.7284025,2021.0,1.0,53.0,1.0,3.0
2021-01-01 03:10:00,AGG ASSAULT WITH MOTOR VEH,False,2021-01-01 07:51:00,STREETS / HWY / ROAD / ALLEY,12306 DELLREY DR,78758.0,7.0,AD,3,203.0,18.5,False,2021-01-05 00:00:00,Aggravated Assault,30.41145861,-97.69952878,2021.0,1.0,53.0,1.0,3.0
2021-01-01 04:00:00,AGG ASSAULT,False,2021-01-01 05:30:00,PARKING LOTS / GARAGE,4410 DUVAL RD,78727.0,6.0,AD,3,191.0,17.45,False,2021-02-16 00:00:00,Aggravated Assault,30.41317535,-97.73245573,2021.0,1.0,53.0,1.0,4.0
2021-01-01 05:06:00,AGG ASLT W/MOTOR VEH FAM/DAT V,True,2021-01-01 05:06:00,RESIDENCE / HOME,10601 MACMORA RD,78758.0,4.0,ED,2,219.0,18.21,False,2021-01-19 00:00:00,Aggravated Assault,30.38277436,-97.70593995,2021.0,1.0,53.0,1.0,5.0
2021-01-01 09:14:00,AGG ROBBERY/DEADLY WEAPON,False,2021-01-01 10:51:00,RESIDENCE / HOME,12430 METRIC BLVD,78758.0,7.0,AD,3,203.0,,True,2021-05-25 00:00:00,Robbery,30.4120361,-97.69176384,2021.0,1.0,53.0,1.0,9.0
2021-01-01 12:17:00,DEADLY CONDUCT,False,2021-01-01 12:17:00,STREETS / HWY / ROAD / ALLEY,8764 RESEARCH BLVD SVRD SB,78757.0,7.0,ID,7,234.0,18.18,False,2021-01-25 00:00:00,Aggravated Assault,30.36547348,-97.71975478,2021.0,1.0,53.0,1.0,12.0
